RE,LABEL,COLOR
ret,terminator,#d98880
br,terminator,#d98880
switch,terminator,#d98880
indirectbr,terminator,#d98880
invoke,terminator,#d98880
callbr,terminator,#d98880
resume,terminator,#d98880
catchswitch,terminator,#d98880
catchret,terminator,#d98880
cleanupret,terminator,#d98880
unreachable,terminator,#d98880
fneg,unary-op,#c39bd3 
add,binary-op,#7fb3d5 
fadd,binary-op,#7fb3d5 
sub,binary-op,#7fb3d5 
fsub,binary-op,#7fb3d5 
mul,binary-op,#7fb3d5 
fmul,binary-op,#7fb3d5 
udiv,binary-op,#7fb3d5 
sdiv,binary-op,#7fb3d5 
fdiv,binary-op,#7fb3d5 
urem,binary-op,#7fb3d5 
srem,binary-op,#7fb3d5 
frem,binary-op,#7fb3d5 
shl,binary-bitwise-op,#85c1e9 
lshr,binary-bitwise-op,#85c1e9 
ashr,binary-bitwise-op,#85c1e9 
and,binary-bitwise-op,#85c1e9 
or,binary-bitwise-op,#85c1e9 
xor,binary-bitwise-op,#85c1e9 
extractelement,vector-op,#76d7c4 
insertelement,vector-op,#76d7c4 
shufflevector,vector-op,#76d7c4 
extractvalue,aggregate-op,#73c6b6 
insertvalue,aggregate-op,#73c6b6 
load,load,#7dcea0 
store,store,#82e0aa 
fence,memory,#f7dc6f 
cmpxchg,memory,#f7dc6f 
atomicrmw,memory,#f7dc6f 
getelementptr,memory,#f7dc6f 
alloca,memory,#f7dc6f 
call,call,#f8c471 
phi,phi,#f8c471 
trunc|zext|sext|fptrunc|fpext|fptoui|fptosi|uitofp|sitofp|ptrtoint|inttoptr|bitcast|addrspacecast,conversion,#f0b27a 
icmp,other,#e59866 
fcmp,other,#e59866 
select,other,#e59866 
freeze,other,#e59866 
va_arg,other,#e59866 
landingpad,other,#e59866 
catchpad,other,#e59866 
cleanuppad,other,#e59866 
llvm.\*,intrinstic,#b3b6b7
\*,undef,#ffffff
